Product ID,Product Name,Category,Form,Description,Long Description,Suitable Crops,Suitable Soils,Growth Stage,Is Active,Is Featured,Tags,Categories Array,NPK Nitrogen,NPK Phosphorus,NPK Potassium,Solubility,pH Min,pH Max,Application Method,Rate Min,Rate Max,Rate Unit,Frequency,Timing,Retail Price,Wholesale Price,Currency,In Stock,Quantity,Unit,Toxicity,Handling,Storage,Images,Brochures,Certifications,Created At,Updated At,Target Diseases,Disease Treatment Efficacy,Treatment Protocol,Dosage for Disease Treatment,Application Method for Disease,Frequency for Disease Treatment,Prevention vs Treatment,Crop-Specific Disease Treatment,Seasonal Application,Compatibility with Other Products,Safety Precautions for Disease Treatment,Expected Results Timeline,Environmental Conditions,Resistance Management,Research Notes
689dbbb65b260f2e5f998f40,NPK 30-10-10,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,30,10,10,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f41,NPK 17-03-26,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,17,3,26,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f49,NPK 12-12-17+2MgO+TE,Granular NPK,Granular,Uniform granules; balanced macronutrients.,,"Cereals, legumes, potatoes, cotton, fruit trees, citrus","Loam, Clay, Sandy, Chalky",Base/planting & vegetative topdress,true,false,"cereals, chalky, citrus, clay, cotton, fruit-trees, granular, granular-npk-grades, legumes, loam, potatoes, sandy",,12,12,17,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,Base/planting & vegetative topdress,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f4c,NPK 19-19-19,Granular NPK,Granular,Uniform granules; balanced macronutrients.,,"Cereals, legumes, potatoes, cotton, fruit trees, citrus","Loam, Clay, Sandy, Chalky",Base/planting & vegetative topdress,true,false,"cereals, chalky, citrus, clay, cotton, fruit-trees, granular, granular-npk-grades, legumes, loam, potatoes, sandy",,19,19,19,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,Base/planting & vegetative topdress,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f4f,NPK 02-07-14,Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,2,7,14,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f51,NPK 10-08-10,Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,10,8,10,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f52,NPK 10-10-10,Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,10,10,10,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f69,RNZ NS 20+ (20-0-0-50S),Sulphur Based,Sulphur/Amendment,Elemental/compound S with optional Zn/B; pH & S correction.,,"Oilseeds, legumes, cereals; S & Zn correction","Alkaline, Loam, Sandy, Clay",Pre-plant or early season; soil amendment,true,false,"alkaline, cereals, clay, legumes, loam, oilseeds, s-zn-correction, sandy, sulphur-amendment, sulphur-based",,20,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,Pre-plant or early season; soil amendment,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f6b,Mono Ammonium Phosphate,Straights Items,Straight,"Single-nutrient or binary sources (N, P, K, Ca, etc.).",,All crops (depending on nutrient need),"Varies; common: Loam, Clay, Sandy",As per nutrient plan (base/topdress/foliar),true,false,"all-crops-depending-on-nutrient-need, clay, common-loam, sandy, straight, straights-items, varies",,,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,As per nutrient plan (base/topdress/foliar),650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f71,"Potassium Sulphate (Standard, Soluble, Granular)",Straights Items,Straight,"Single-nutrient or binary sources (N, P, K, Ca, etc.).",,All crops (depending on nutrient need),"Varies; common: Loam, Clay, Sandy",As per nutrient plan (base/topdress/foliar),true,false,"all-crops-depending-on-nutrient-need, clay, common-loam, sandy, straight, straights-items, varies",,,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,As per nutrient plan (base/topdress/foliar),650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f75,Fe EDTA 12%,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f76,Fe EDTA 15%,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f78,Mn EDTA 13%,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f79,Zn EDTA 15%,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f85,Granular Gypsum,Bio/Organic Items,Organic/Bio,Biostimulants & soil improvers.,,All crops; organic & soil health programs,"Loam, Sandy, Clay, Peat, Acidic",Any stage; soil conditioning,true,false,"acidic, all-crops, bio-organic-items, clay, loam, organic-bio, organic-soil-health-programs, peat, sandy",,,,,Fully soluble,6,7,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Any stage; soil conditioning,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f44,NPK 20-20-20,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,20,20,20,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f4d,NPK 10-10-40+,Granular NPK,Granular,Uniform granules; balanced macronutrients.,,"Cereals, legumes, potatoes, cotton, fruit trees, citrus","Loam, Clay, Sandy, Chalky",Base/planting & vegetative topdress,true,false,"cereals, chalky, citrus, clay, cotton, fruit-trees, granular, granular-npk-grades, legumes, loam, potatoes, sandy",,10,10,40,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,Base/planting & vegetative topdress,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f55,Salt Corrector,Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f57,Calcium Thiosulphate (CaTS),Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f59,Potassium Thiosulphate (KTS),Liquid Items,Liquid,Concentrated liquids for rapid response.,,"Leafy greens, vegetables, fruits, hydroponics, ornamentals","Hydroponics, Sandy, Loam, Peat",Foliar/fertigation across stages; fast correction,true,false,"fruits, hydroponics, leafy-greens, liquid, liquid-items, loam, ornamentals, peat, sandy, vegetables",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Foliar/fertigation across stages; fast correction,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f5d,NPK 12-52-08,Suspension Items,Suspension,Stable suspensions delivering high analysis NPK.,,"Cereals, cotton, rice, citrus, fruit trees","Loam, Clay, Chalky, Alkaline",Vegetative to fruiting; fertigation/foliar,true,false,"alkaline, cereals, chalky, citrus, clay, cotton, fruit-trees, loam, rice, suspension, suspension-items",,12,52,8,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to fruiting; fertigation/foliar,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f61,NPK 21-21-21,Suspension Items,Suspension,Stable suspensions delivering high analysis NPK.,,"Cereals, cotton, rice, citrus, fruit trees","Loam, Clay, Chalky, Alkaline",Vegetative to fruiting; fertigation/foliar,true,false,"alkaline, cereals, chalky, citrus, clay, cotton, fruit-trees, loam, rice, suspension, suspension-items",,21,21,21,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to fruiting; fertigation/foliar,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f62,+10 Customized Formula,Suspension Items,Suspension,Stable suspensions delivering high analysis NPK.,,"Cereals, cotton, rice, citrus, fruit trees","Loam, Clay, Chalky, Alkaline",Vegetative to fruiting; fertigation/foliar,true,false,"alkaline, cereals, chalky, citrus, clay, cotton, fruit-trees, loam, rice, suspension, suspension-items",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to fruiting; fertigation/foliar,1200,1080,INR,true,1000,L,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f68,RNZ NS 10+ (10-0-0-7.5S),Sulphur Based,Sulphur/Amendment,Elemental/compound S with optional Zn/B; pH & S correction.,,"Oilseeds, legumes, cereals; S & Zn correction","Alkaline, Loam, Sandy, Clay",Pre-plant or early season; soil amendment,true,false,"alkaline, cereals, clay, legumes, loam, oilseeds, s-zn-correction, sandy, sulphur-amendment, sulphur-based",,10,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,Pre-plant or early season; soil amendment,650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f6a,Prilled / Granular Urea,Straights Items,Straight,"Single-nutrient or binary sources (N, P, K, Ca, etc.).",,All crops (depending on nutrient need),"Varies; common: Loam, Clay, Sandy",As per nutrient plan (base/topdress/foliar),true,false,"all-crops-depending-on-nutrient-need, clay, common-loam, sandy, straight, straights-items, varies",,,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,As per nutrient plan (base/topdress/foliar),650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f6d,Potassium Nitrate (Powder & Prilled),Straights Items,Straight,"Single-nutrient or binary sources (N, P, K, Ca, etc.).",,All crops (depending on nutrient need),"Varies; common: Loam, Clay, Sandy",As per nutrient plan (base/topdress/foliar),true,false,"all-crops-depending-on-nutrient-need, clay, common-loam, sandy, straight, straights-items, varies",,,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,As per nutrient plan (base/topdress/foliar),650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f6e,Calcium Nitrate with Boron,Straights Items,Straight,"Single-nutrient or binary sources (N, P, K, Ca, etc.).",,All crops (depending on nutrient need),"Varies; common: Loam, Clay, Sandy",As per nutrient plan (base/topdress/foliar),true,false,"all-crops-depending-on-nutrient-need, clay, common-loam, sandy, straight, straights-items, varies",,,,,Slow release,6,7,Soil Application,100,200,kg/ha,At planting and topdress,As per nutrient plan (base/topdress/foliar),650,585,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f77,Cu EDTA 15%,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f7e,Boric Acid,Micro Elements,Micronutrient,Chelated/available trace elements.,,"Fruit trees, citrus, grapes, greens; deficiency correction","Alkaline/Acidic (per element), Sandy, Loam, Peat",As deficiency appears; foliar or fertigation,true,false,"acidic-per-element, alkaline, citrus, deficiency-correction, fruit-trees, grapes, greens, loam, micro-elements, micronutrient, peat, sandy",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,As deficiency appears; foliar or fertigation,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f80,Zinc Sulphate – Hepta & Mono,Sulphates Products,Micronutrient (Sulphate),"Sulphate salts of Zn, Mg, Mn, Fe, Cu.",,"Cereals, vegetables, oilseeds; Mg/Zn/Mn/Fe/Cu correction","Sandy, Acidic, Loam",Deficiency correction; soil/foliar,true,false,"acidic, cereals, cu-correction, fe, loam, mg, micronutrient-sulphate, mn, oilseeds, sandy, sulphates-products, vegetables, zn",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Deficiency correction; soil/foliar,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f81,"Magnesium Sulphate – Hepta, Mono & Anhydrous",Sulphates Products,Micronutrient (Sulphate),"Sulphate salts of Zn, Mg, Mn, Fe, Cu.",,"Cereals, vegetables, oilseeds; Mg/Zn/Mn/Fe/Cu correction","Sandy, Acidic, Loam",Deficiency correction; soil/foliar,true,false,"acidic, cereals, cu-correction, fe, loam, mg, micronutrient-sulphate, mn, oilseeds, sandy, sulphates-products, vegetables, zn",,,,,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Deficiency correction; soil/foliar,1500,1350,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f3c,NPK 19-19-19,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,19,19,19,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f3d,NPK 13-40-13,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,13,40,13,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f3e,NPK 13-00-45,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,13,,45,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f3f,NPK 06-12-36,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,6,12,36,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f42,NPK 13-05-26,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,13,5,26,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
689dbbb65b260f2e5f998f43,NPK 00-52-34,Water Soluble NPK,WSF Powder,High-purity fully soluble grades for quick uptake.,,"All crops; strong for vegetables, fruits, hydroponics","Loam, Sandy, Silt, Hydroponics",Vegetative to flowering; fertigation/foliar,true,true,"all-crops, fruits, hydroponics, loam, sandy, silt, strong-for-vegetables, water-soluble-npk-100-soluble-powders, wsf-powder",,,52,34,Fully soluble,5.5,6.5,"Foliar, Fertigation",2,5,kg/ha,Every 7-15 days,Vegetative to flowering; fertigation/foliar,850,765,INR,true,1000,kg,Standard agricultural product,Follow standard safety procedures,"Store in cool, dry place",,,,,,,,,,,,,,,,,,,,
